estado,mes,year,actas,cve_ent,date
Aguascalientes,Enero,2019,810,1,2019-01
Aguascalientes,Febrero,2019,633,1,2019-02
Aguascalientes,Marzo,2019,613,1,2019-03
Aguascalientes,Abril,2019,534,1,2019-04
Aguascalientes,Mayo,2019,641,1,2019-05
Aguascalientes,Junio,2019,518,1,2019-06
Aguascalientes,Julio,2019,519,1,2019-07
Aguascalientes,Agosto,2019,515,1,2019-08
Aguascalientes,Septiembre,2019,515,1,2019-09
Aguascalientes,Octubre,2019,542,1,2019-10
Aguascalientes,Noviembre,2019,519,1,2019-11
Aguascalientes,Diciembre,2019,523,1,2019-12
Aguascalientes,Enero,2020,847,1,2020-01
Aguascalientes,Febrero,2020,557,1,2020-02
Aguascalientes,Marzo,2020,563,1,2020-03
Aguascalientes,Abril,2020,390,1,2020-04
Aguascalientes,Mayo,2020,491,1,2020-05
Aguascalientes,Junio,2020,611,1,2020-06
Chiapas,Enero,2019,2559,7,2019-01
Chiapas,Febrero,2019,2078,7,2019-02
Chiapas,Marzo,2019,2126,7,2019-03
Chiapas,Abril,2019,2089,7,2019-04
Chiapas,Mayo,2019,2328,7,2019-05
Chiapas,Junio,2019,2087,7,2019-06
Chiapas,Julio,2019,2302,7,2019-07
Chiapas,Agosto,2019,2188,7,2019-08
Chiapas,Septiembre,2019,2096,7,2019-09
Chiapas,Octubre,2019,2382,7,2019-10
Chiapas,Noviembre,2019,2424,7,2019-11
Chiapas,Diciembre,2019,2289,7,2019-12
Chiapas,Enero,2020,2535,7,2020-01
Chiapas,Febrero,2020,2086,7,2020-02
Chiapas,Marzo,2020,2140,7,2020-03
Chiapas,Abril,2020,2191,7,2020-04
Chiapas,Mayo,2020,3269,7,2020-05
Chiapas,Junio,2020,7116,7,2020-06
Chihuahua,Enero,2019,3107,8,2019-01
Chihuahua,Febrero,2019,2331,8,2019-02
Chihuahua,Marzo,2019,2305,8,2019-03
Chihuahua,Abril,2019,2070,8,2019-04
Chihuahua,Mayo,2019,2012,8,2019-05
Chihuahua,Junio,2019,1866,8,2019-06
Chihuahua,Julio,2019,1990,8,2019-07
Chihuahua,Agosto,2019,2058,8,2019-08
Chihuahua,Septiembre,2019,1930,8,2019-09
Chihuahua,Octubre,2019,2157,8,2019-10
Chihuahua,Noviembre,2019,2273,8,2019-11
Chihuahua,Diciembre,2019,2101,8,2019-12
Chihuahua,Enero,2020,2910,8,2020-01
Chihuahua,Febrero,2020,2250,8,2020-02
Chihuahua,Marzo,2020,2251,8,2020-03
Chihuahua,Abril,2020,2703,8,2020-04
Chihuahua,Mayo,2020,3332,8,2020-05
Chihuahua,Junio,2020,2881,8,2020-06
Oaxaca,Enero,2019,1908,20,2019-01
Oaxaca,Febrero,2019,1512,20,2019-02
Oaxaca,Marzo,2019,1502,20,2019-03
Oaxaca,Abril,2019,1548,20,2019-04
Oaxaca,Mayo,2019,1693,20,2019-05
Oaxaca,Junio,2019,1401,20,2019-06
Oaxaca,Julio,2019,1708,20,2019-07
Oaxaca,Agosto,2019,1603,20,2019-08
Oaxaca,Septiembre,2019,1489,20,2019-09
Oaxaca,Octubre,2019,1559,20,2019-10
Oaxaca,Noviembre,2019,1256,20,2019-11
Oaxaca,Diciembre,2019,1392,20,2019-12
Oaxaca,Enero,2020,1647,20,2020-01
Oaxaca,Febrero,2020,1399,20,2020-02
Oaxaca,Marzo,2020,1465,20,2020-03
Oaxaca,Abril,2020,1244,20,2020-04
Oaxaca,Mayo,2020,1202,20,2020-05
Oaxaca,Junio,2020,1323,20,2020-06
Querétaro,Enero,2019,1116,22,2019-01
Querétaro,Febrero,2019,995,22,2019-02
Querétaro,Marzo,2019,923,22,2019-03
Querétaro,Abril,2019,860,22,2019-04
Querétaro,Mayo,2019,924,22,2019-05
Querétaro,Junio,2019,830,22,2019-06
Querétaro,Julio,2019,887,22,2019-07
Querétaro,Agosto,2019,861,22,2019-08
Querétaro,Septiembre,2019,877,22,2019-09
Querétaro,Octubre,2019,879,22,2019-10
Querétaro,Noviembre,2019,969,22,2019-11
Querétaro,Diciembre,2019,1085,22,2019-12
Querétaro,Enero,2020,1173,22,2020-01
Querétaro,Febrero,2020,1060,22,2020-02
Querétaro,Marzo,2020,1000,22,2020-03
Querétaro,Abril,2020,906,22,2020-04
Querétaro,Mayo,2020,1066,22,2020-05
Querétaro,Junio,2020,1158,22,2020-06
Quintana Roo,Enero,2019,633,23,2019-01
Quintana Roo,Febrero,2019,567,23,2019-02
Quintana Roo,Marzo,2019,617,23,2019-03
Quintana Roo,Abril,2019,601,23,2019-04
Quintana Roo,Mayo,2019,607,23,2019-05
Quintana Roo,Junio,2019,582,23,2019-06
Quintana Roo,Julio,2019,642,23,2019-07
Quintana Roo,Agosto,2019,658,23,2019-08
